1,Australian Grand Prix
2,Bahrain Grand Prix
3,Chinese Grand Prix
4,Russian Grand Prix
5,Spanish Grand Prix
6,Monaco Grand Prix
7,Canadian Grand Prix
8,European Grand Prix
9,Austrian Grand Prix
10,British Grand Prix
11,Hungarian Grand Prix
12,German Grand Prix
13,Belgian Grand Prix
14,Italian Grand Prix
15,Singapore Grand Prix
16,Malaysian Grand Prix
17,Japanese Grand Prix
18,United States Grand Prix
19,Mexican Grand Prix
20,Brazilian Grand Prix
21,Abu Dhabi Grand Prix
6,Monaco Grand Prix
7,Canadian Grand Prix
12,German Grand Prix
13,Belgian Grand Prix
14,Italian Grand Prix
15,Singapore Grand Prix
