Afghanistan,Kabul
Armenia,Yerevan
Azerbaijan,Baku
Bahrain,Manama
Bangladesh,Dhaka
Bhutan,Thimphu
Brunei - Darussalam,Bandar Seri Begawan
Burma (Myanmar),Rangoon
Cambodia,Phnom Penh
China,Beijing
East Timor,Dili
India,New Delhi
Indonesia,Jakarta
Iran,Teheran
Iraq,Baghdad
Israel,Jerusalem
Japan,Tokyo
Jordan,Amman
Kazakhstan,Astana
Korea(North),Pyongyang
Korea(South),Seoul
Kuwait,Kuwait City
Kyrgyzstan,Bishkek
Laos,Vientiane
Lebanon,Beirut
Malaysia,Kuala Lumpur
Maldives,Male
Mongolia,Ulan Bator
Nepal,Kathmandu
Oman,Muscat
Pakistan,Islamabad
Philippines,Manila
Qatar,Doha
Saudi Arabia,Riyadh
Singapore,Singapore
Sri Lanka,Colombo (Commercial Capital)
Sri Lanka,Sri Jayawardenepura-Kotte (Administrative Capital)
Syria,Damascus
Taiwan,Taipei
Tajikistan,Dushanbe
Thailand,Bangkok
Turkey,Ankara
Turkmenistan,Ashgabat
United Arab Emirates,Abu Dhabi
Uzbekistan,Tashkent
Vietnam,Hanoi
Yemen,Sana
